QB,RB,RB,WR,WR,WR,TE,FLEX,DEF
84689-62239,84689-87787,84689-91626,84689-25079,84689-90573,84689-69213,84689-52436,84689-94534,84689-12535
84689-62239,84689-87787,84689-91626,84689-25079,84689-31001,84689-69213,84689-52436,84689-94534,84689-12535
84689-62239,84689-28744,84689-91626,84689-25079,84689-90573,84689-69213,84689-52436,84689-94534,84689-12540
84689-62239,84689-54140,84689-87787,84689-90573,84689-69213,84689-94534,84689-52436,84689-91626,84689-12540
84689-62239,84689-87787,84689-28744,84689-25079,84689-90573,84689-69213,84689-52436,84689-91626,84689-12535
84689-62239,84689-28744,84689-91626,84689-25079,84689-31001,84689-69213,84689-52436,84689-94534,84689-12540
84689-62239,84689-87787,84689-91626,84689-25079,84689-90573,84689-69213,84689-52436,84689-56262,84689-12540
84689-62239,84689-54140,84689-87787,84689-31001,84689-69213,84689-94534,84689-52436,84689-91626,84689-12540
84689-62239,84689-87787,84689-28744,84689-25079,84689-31001,84689-69213,84689-52436,84689-91626,84689-12535
84689-62239,84689-87787,84689-91626,84689-25079,84689-31001,84689-69213,84689-52436,84689-56262,84689-12540
84689-54879,84689-87787,84689-91626,84689-85671,84689-25079,84689-69213,84689-52436,84689-94534,84689-12540
84689-62239,84689-54140,84689-91626,84689-25079,84689-69213,84689-94534,84689-52436,84689-56262,84689-12535
84689-62239,84689-54140,84689-87787,84689-25079,84689-94534,84689-86312,84689-52436,84689-91626,84689-12540
84689-62239,84689-53562,84689-87787,84689-25079,84689-69213,84689-94534,84689-64585,84689-91626,84689-12540
84689-62239,84689-28744,84689-91626,84689-85671,84689-90573,84689-69213,84689-52436,84689-94534,84689-12535
84689-62239,84689-53562,84689-87787,84689-90573,84689-31001,84689-94534,84689-52436,84689-91626,84689-12540
84689-62239,84689-87787,84689-28744,84689-85671,84689-31001,84689-94534,84689-52436,84689-91626,84689-12540
84689-62239,84689-53562,84689-87787,84689-25079,84689-69213,84689-53639,84689-52436,84689-91626,84689-12535
84689-62239,84689-54140,84689-87787,84689-25079,84689-69213,84689-71032,84689-52436,84689-91626,84689-12535
84689-54879,84689-53562,84689-87787,84689-25079,84689-90573,84689-69213,84689-52436,84689-91626,84689-12540
